Processor,"Card Type","Merchant Group",Customers,"Attempted Captured Charges","Declined Captured Charges","Decline Capture Rate","Declined Net Product Revenue","Successful Captured Charges","Successful Capture Rate","Success Gross Product Revenue","Rewards Applied","Discounts Applied","Discount Rate","Successful Net Product Revenue","Shipping Revenue","Tax Collected","Gift Cards Applied",Revenue,Processed,Adjustments,"Adjustment Rate","Successful Refunds","Declined Refunds","Refund Rate","Refunded Revenue","Refunded Revenue Rate","Full Refunds","Full Refund Rate","Partial Refunds","Partial Refund Rate","Successful Voids","Declined Voids","Void Rate","Voided Revenue","Voided Revenue Rate",Chargebacks,"Chargeback Rate","Chargeback Revenue","Chargeback Revenue Rate",Alerts,"Alert Rate","Alert Revenue","Alert Revenue Rate","Net Revenue","Cost of Revenue","Cost of Goods Sold","Ad Spend","Chargeback Fees","Alert Fees","Processing Fees",Profit,"Profit Margin"
APPS,Mastercard,SpecifiConLLC,786,737,426,57.80%,"$17,330.31",311,42.20%,"$11,179.71",$0.00,$0.00,0.00%,"$11,179.71",$0.00,$0.00,$0.00,"$11,179.71","$11,179.71","$3,988.16",35.67%,5,0,1.61%,$142.07,1.27%,4,80.00%,1,20.00%,5,0,1.61%,$64.45,0.58%,6,1.93%,$440.19,3.94%,70,22.51%,"$3,341.45",29.89%,"$7,191.55",$915.26,$0.00,$0.00,$210.00,$0.00,$705.26,"$6,276.29",56.14%
APPS,Visa,SpecifiConLLC,"1,770","1,744","1,338",76.72%,"$45,801.91",406,23.28%,"$9,485.72",$0.00,$0.00,0.00%,"$9,485.72",$0.00,$0.00,$0.00,"$9,485.72","$9,485.72","$2,550.79",26.89%,8,0,1.97%,$453.18,4.78%,8,100.00%,0,0.00%,4,0,0.99%,$137.56,1.45%,0,0.00%,$0.00,0.00%,49,12.07%,"$1,960.05",20.66%,"$6,934.93",$821.62,$0.00,$0.00,$0.00,$0.00,$821.62,"$6,113.31",64.45%
Luqra,Mastercard,,593,598,533,89.13%,"$48,624.37",65,10.87%,"$6,121.55",$0.00,$0.00,0.00%,"$6,121.55",$0.00,$0.00,$0.00,"$6,121.55","$6,121.55",$0.00,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,"$6,121.55",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$6,121.55",100.00%
Luqra,Visa,,"1,159","1,165","1,125",96.57%,"$107,881.95",40,3.43%,"$3,547.20",$0.00,$0.00,0.00%,"$3,547.20",$0.00,$0.00,$0.00,"$3,547.20","$3,547.20",$0.00,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,"$3,547.20",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,547.20",100.00%
NETEVIA,Mastercard,BrightAdvantageLLC,"1,078","1,032",616,59.69%,"$26,768.20",416,40.31%,"$15,721.05",$0.00,$0.00,0.00%,"$15,721.05",$0.00,$0.00,$0.00,"$15,721.05","$15,721.05","$4,376.73",27.84%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,0,0,0.00%,$0.00,0.00%,17,4.09%,"$1,071.84",6.82%,77,18.51%,"$3,304.89",21.02%,"$11,344.32","$1,331.00",$0.00,$0.00,$340.00,$0.00,$991.00,"$10,013.32",63.69%
NETEVIA,Mastercard,DiamondSphereLLC,"1,182","1,135",644,56.74%,"$30,403.35",491,43.26%,"$20,633.18",$0.00,$0.00,0.00%,"$20,633.18",$0.00,$0.00,$0.00,"$20,633.18","$20,633.18","$6,112.27",29.62%,2,0,0.41%,$25.78,0.12%,2,100.00%,0,0.00%,3,0,0.61%,$38.67,0.19%,8,1.63%,$586.92,2.84%,94,19.14%,"$5,460.90",26.47%,"$14,520.91","$1,416.73",$0.00,$0.00,$160.00,$0.00,"$1,256.73","$13,104.18",63.51%
NETEVIA,Mastercard,PrimeSmartSolutionsLLC,733,702,436,62.11%,"$25,823.03",266,37.89%,"$15,912.06",$0.00,$0.00,0.00%,"$15,912.06",$0.00,$0.00,$0.00,"$15,912.06","$15,912.06","$3,873.04",24.34%,3,0,1.13%,$133.57,0.84%,0,0.00%,3,100.00%,0,0,0.00%,$0.00,0.00%,4,1.50%,$293.46,1.84%,57,21.43%,"$3,446.01",21.66%,"$12,039.02","$1,015.06",$0.00,$0.00,$80.00,$0.00,$935.06,"$11,023.96",69.28%
NETEVIA,Mastercard,SpecifiConLLC,974,936,537,57.37%,"$23,412.56",399,42.63%,"$14,364.33",$0.00,$0.00,0.00%,"$14,364.33",$0.00,$0.00,$0.00,"$14,364.33","$14,364.33","$3,593.36",25.02%,3,0,0.75%,$73.62,0.51%,3,100.00%,0,0.00%,5,0,1.25%,$64.45,0.45%,5,1.25%,$306.35,2.13%,71,17.79%,"$3,148.94",21.92%,"$10,770.97","$1,003.98",$0.00,$0.00,$100.00,$0.00,$903.98,"$9,766.99",67.99%
NETEVIA,Mastercard,UniquePlusLLC,703,674,415,61.57%,"$20,477.56",259,38.43%,"$13,083.18",$0.00,$0.00,0.00%,"$13,083.18",$0.00,$0.00,$0.00,"$13,083.18","$13,083.18","$4,491.92",34.33%,1,0,0.39%,$12.89,0.10%,1,100.00%,0,0.00%,1,0,0.39%,$12.89,0.10%,6,2.32%,$440.19,3.36%,58,22.39%,"$4,025.95",30.77%,"$8,591.26",$908.03,$0.00,$0.00,$120.00,$0.00,$788.03,"$7,683.23",58.73%
NETEVIA,Visa,BrightAdvantageLLC,"2,180","2,179","1,775",81.46%,"$67,339.40",404,18.54%,"$9,224.74",$0.00,$0.00,0.00%,"$9,224.74",$0.00,$0.00,$0.00,"$9,224.74","$9,224.74","$1,104.36",11.97%,5,0,1.24%,$189.64,2.06%,2,40.00%,3,60.00%,9,0,2.23%,$116.01,1.26%,0,0.00%,$0.00,0.00%,20,4.95%,$798.71,8.66%,"$8,120.38",$895.44,$0.00,$0.00,$0.00,$0.00,$895.44,"$7,224.94",78.32%
