Processor,Card Type,Merchant Group,Customers,Attempted Captured Charges,Declined Captured Charges,Decline Capture Rate,Declined Net Product Revenue,Successful Captured Charges,Successful Capture Rate,Success Gross Product Revenue,Rewards Applied,Discounts Applied,Discount Rate,Successful Net Product Revenue,Shipping Revenue,Tax Collected,Gift Cards Applied,Revenue,Processed,Adjustments,Adjustment Rate,Successful Refunds,Declined Refunds,Refund Rate,Refunded Revenue,Refunded Revenue Rate,Full Refunds,Full Refund Rate,Partial Refunds,Partial Refund Rate,Successful Voids,Declined Voids,Void Rate,Voided Revenue,Voided Revenue Rate,Chargebacks,Chargeback Rate,Chargeback Revenue,Chargeback Revenue Rate,Alerts,Alert Rate,Alert Revenue,Alert Revenue Rate,Net Revenue,Cost of Revenue,Cost of Goods Sold,Ad Spend,Chargeback Fees,Alert Fees,Processing Fees,Profit,Profit Margin
APPS,Mastercard,SpecifiConLLC,771,723,421,58.23%,"$16,921.86",302,41.77%,"$10,684.75",$0.00,$0.00,0.00%,"$10,684.75",$0.00,$0.00,$0.00,"$10,684.75","$10,684.75","$3,975.27",37.21%,5,0,1.66%,$142.07,1.33%,4,80.00%,1,20.00%,5,0,1.66%,$64.45,0.60%,6,1.99%,$440.19,4.12%,69,22.85%,"$3,328.56",31.15%,"$6,709.48",$887.75,$0.00,$0.00,$210.00,$0.00,$677.75,"$5,821.73",54.49%
APPS,Visa,SpecifiConLLC,"1,738","1,712","1,312",76.64%,"$44,227.82",400,23.36%,"$9,322.38",$0.00,$0.00,0.00%,"$9,322.38",$0.00,$0.00,$0.00,"$9,322.38","$9,322.38","$2,550.79",27.36%,8,0,2.00%,$453.18,4.86%,8,100.00%,0,0.00%,4,0,1.00%,$137.56,1.48%,0,0.00%,$0.00,0.00%,49,12.25%,"$1,960.05",21.03%,"$6,771.59",$807.08,$0.00,$0.00,$0.00,$0.00,$807.08,"$5,964.51",63.98%
Luqra,Mastercard,,593,598,533,89.13%,"$48,624.37",65,10.87%,"$6,121.55",$0.00,$0.00,0.00%,"$6,121.55",$0.00,$0.00,$0.00,"$6,121.55","$6,121.55",$0.00,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,"$6,121.55",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$6,121.55",100.00%
Luqra,Visa,,"1,159","1,165","1,125",96.57%,"$107,881.95",40,3.43%,"$3,547.20",$0.00,$0.00,0.00%,"$3,547.20",$0.00,$0.00,$0.00,"$3,547.20","$3,547.20",$0.00,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,"$3,547.20",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,547.20",100.00%
NETEVIA,Mastercard,BrightAdvantageLLC,"1,025",979,582,59.45%,"$25,172.72",397,40.55%,"$15,005.69",$0.00,$0.00,0.00%,"$15,005.69",$0.00,$0.00,$0.00,"$15,005.69","$15,005.69","$4,303.11",28.68%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,0,0,0.00%,$0.00,0.00%,17,4.28%,"$1,071.84",7.14%,74,18.64%,"$3,231.27",21.53%,"$10,702.58","$1,284.69",$0.00,$0.00,$340.00,$0.00,$944.69,"$9,417.89",62.76%
NETEVIA,Mastercard,DiamondSphereLLC,"1,146","1,100",622,56.55%,"$29,324.17",478,43.45%,"$19,793.71",$0.00,$0.00,0.00%,"$19,793.71",$0.00,$0.00,$0.00,"$19,793.71","$19,793.71","$6,051.54",30.57%,2,0,0.42%,$25.78,0.13%,2,100.00%,0,0.00%,3,0,0.63%,$38.67,0.20%,8,1.67%,$586.92,2.97%,92,19.25%,"$5,400.17",27.28%,"$13,742.17","$1,367.81",$0.00,$0.00,$160.00,$0.00,"$1,207.81","$12,374.36",62.52%
NETEVIA,Mastercard,PrimeSmartSolutionsLLC,703,671,417,62.15%,"$24,958.50",254,37.85%,"$15,238.63",$0.00,$0.00,0.00%,"$15,238.63",$0.00,$0.00,$0.00,"$15,238.63","$15,238.63","$3,713.42",24.37%,3,0,1.18%,$133.57,0.88%,0,0.00%,3,100.00%,0,0,0.00%,$0.00,0.00%,4,1.57%,$293.46,1.93%,54,21.26%,"$3,286.39",21.57%,"$11,525.21",$975.23,$0.00,$0.00,$80.00,$0.00,$895.23,"$10,549.98",69.23%
NETEVIA,Mastercard,SpecifiConLLC,951,912,519,56.91%,"$22,505.89",393,43.09%,"$14,131.09",$0.00,$0.00,0.00%,"$14,131.09",$0.00,$0.00,$0.00,"$14,131.09","$14,131.09","$3,446.63",24.39%,3,0,0.76%,$73.62,0.52%,3,100.00%,0,0.00%,5,0,1.27%,$64.45,0.46%,5,1.27%,$306.35,2.17%,69,17.56%,"$3,002.21",21.25%,"$10,684.46",$987.54,$0.00,$0.00,$100.00,$0.00,$887.54,"$9,696.92",68.62%
NETEVIA,Mastercard,UniquePlusLLC,675,646,398,61.61%,"$19,593.82",248,38.39%,"$12,473.69",$0.00,$0.00,0.00%,"$12,473.69",$0.00,$0.00,$0.00,"$12,473.69","$12,473.69","$4,479.03",35.91%,1,0,0.40%,$12.89,0.10%,1,100.00%,0,0.00%,1,0,0.40%,$12.89,0.10%,6,2.42%,$440.19,3.53%,57,22.98%,"$4,013.06",32.17%,"$7,994.66",$871.99,$0.00,$0.00,$120.00,$0.00,$751.99,"$7,122.67",57.10%
NETEVIA,Visa,BrightAdvantageLLC,"2,101","2,099","1,715",81.71%,"$64,985.51",384,18.29%,"$8,747.87",$0.00,$0.00,0.00%,"$8,747.87",$0.00,$0.00,$0.00,"$8,747.87","$8,747.87","$1,080.44",12.35%,4,0,1.04%,$165.72,1.89%,2,50.00%,2,50.00%,9,0,2.34%,$116.01,1.33%,0,0.00%,$0.00,0.00%,20,5.21%,$798.71,9.13%,"$7,667.43",$855.67,$0.00,$0.00,$0.00,$0.00,$855.67,"$6,811.76",77.87%
