Processor,"Card Type","Merchant Group",Customers,"Attempted Captured Charges","Declined Captured Charges","Decline Capture Rate","Declined Net Product Revenue","Successful Captured Charges","Successful Capture Rate","Success Gross Product Revenue","Rewards Applied","Discounts Applied","Discount Rate","Successful Net Product Revenue","Shipping Revenue","Tax Collected","Gift Cards Applied",Revenue,Processed,Adjustments,"Adjustment Rate","Successful Refunds","Declined Refunds","Refund Rate","Refunded Revenue","Refunded Revenue Rate","Full Refunds","Full Refund Rate","Partial Refunds","Partial Refund Rate","Successful Voids","Declined Voids","Void Rate","Voided Revenue","Voided Revenue Rate",Chargebacks,"Chargeback Rate","Chargeback Revenue","Chargeback Revenue Rate",Alerts,"Alert Rate","Alert Revenue","Alert Revenue Rate","Net Revenue","Cost of Revenue","Cost of Goods Sold","Ad Spend","Chargeback Fees","Alert Fees","Processing Fees",Profit,"Profit Margin"
APPS,Mastercard,SpecifiConLLC,937,883,512,57.98%,"$20,728.65",371,42.02%,"$13,227.01",$0.00,$0.00,0.00%,"$13,227.01",$0.00,$0.00,$0.00,"$13,227.01","$13,227.01","$4,626.74",34.98%,5,0,1.35%,$142.07,1.07%,4,80.00%,1,20.00%,5,0,1.35%,$64.45,0.49%,6,1.62%,$440.19,3.33%,83,22.37%,"$3,980.03",30.09%,"$8,600.27","$1,046.56",$0.00,$0.00,$210.00,$0.00,$836.56,"$7,553.71",57.11%
APPS,Visa,SpecifiConLLC,"2,062","2,038","1,543",75.71%,"$52,865.31",495,24.29%,"$11,804.73",$0.00,$0.00,0.00%,"$11,804.73",$0.00,$0.00,$0.00,"$11,804.73","$11,804.73","$2,946.52",24.96%,11,0,2.22%,$599.57,5.08%,10,90.91%,1,9.09%,5,0,1.01%,$150.45,1.27%,0,0.00%,$0.00,0.00%,54,10.91%,"$2,196.50",18.61%,"$8,858.21",$995.98,$0.00,$0.00,$0.00,$0.00,$995.98,"$7,862.23",66.60%
Luqra,Mastercard,,593,598,533,89.13%,"$48,624.37",65,10.87%,"$6,121.55",$0.00,$0.00,0.00%,"$6,121.55",$0.00,$0.00,$0.00,"$6,121.55","$6,121.55",$0.00,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,"$6,121.55",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$6,121.55",100.00%
Luqra,Visa,,"1,159","1,165","1,125",96.57%,"$107,881.95",40,3.43%,"$3,547.20",$0.00,$0.00,0.00%,"$3,547.20",$0.00,$0.00,$0.00,"$3,547.20","$3,547.20",$0.00,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,"$3,547.20",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,547.20",100.00%
NETEVIA,Mastercard,BrightAdvantageLLC,"1,301","1,247",758,60.79%,"$32,890.08",489,39.21%,"$18,393.87",$0.00,$0.00,0.00%,"$18,393.87",$0.00,$0.00,$0.00,"$18,393.87","$18,393.87","$5,433.85",29.54%,1,0,0.20%,$47.84,0.26%,1,100.00%,0,0.00%,0,0,0.00%,$0.00,0.00%,24,4.91%,"$1,334.07",7.25%,92,18.81%,"$4,051.94",22.03%,"$12,960.02","$1,647.42",$0.00,$0.00,$480.00,$0.00,"$1,167.42","$11,312.60",61.50%
NETEVIA,Mastercard,DiamondSphereLLC,"1,360","1,313",753,57.35%,"$35,644.51",560,42.65%,"$23,559.78",$0.00,$0.00,0.00%,"$23,559.78",$0.00,$0.00,$0.00,"$23,559.78","$23,559.78","$7,434.42",31.56%,4,0,0.71%,$86.51,0.37%,4,100.00%,0,0.00%,4,0,0.71%,$51.56,0.22%,10,1.79%,$784.70,3.33%,115,20.54%,"$6,511.65",27.64%,"$16,125.36","$1,638.38",$0.00,$0.00,$200.00,$0.00,"$1,438.38","$14,486.98",61.49%
NETEVIA,Mastercard,PrimeSmartSolutionsLLC,941,907,574,63.29%,"$32,306.87",333,36.71%,"$19,725.56",$0.00,$0.00,0.00%,"$19,725.56",$0.00,$0.00,$0.00,"$19,725.56","$19,725.56","$4,782.41",24.24%,4,0,1.20%,$232.46,1.18%,1,25.00%,3,75.00%,2,0,0.60%,$60.73,0.31%,4,1.20%,$293.46,1.49%,67,20.12%,"$4,195.76",21.27%,"$14,943.15","$1,246.51",$0.00,$0.00,$80.00,$0.00,"$1,166.51","$13,696.64",69.44%
NETEVIA,Mastercard,SpecifiConLLC,"1,112","1,072",625,58.30%,"$26,879.77",447,41.70%,"$16,005.01",$0.00,$0.00,0.00%,"$16,005.01",$0.00,$0.00,$0.00,"$16,005.01","$16,005.01","$4,408.07",27.54%,3,0,0.67%,$73.62,0.46%,3,100.00%,0,0.00%,7,0,1.57%,$90.23,0.56%,5,1.12%,$306.35,1.91%,88,19.69%,"$3,937.87",24.60%,"$11,596.94","$1,113.01",$0.00,$0.00,$100.00,$0.00,"$1,013.01","$10,483.93",65.50%
NETEVIA,Mastercard,UniquePlusLLC,877,848,545,64.27%,"$26,310.24",303,35.73%,"$14,944.61",$0.00,$0.00,0.00%,"$14,944.61",$0.00,$0.00,$0.00,"$14,944.61","$14,944.61","$5,040.68",33.73%,1,0,0.33%,$12.89,0.09%,1,100.00%,0,0.00%,1,0,0.33%,$12.89,0.09%,6,1.98%,$440.19,2.95%,67,22.11%,"$4,574.71",30.61%,"$9,903.93","$1,035.76",$0.00,$0.00,$120.00,$0.00,$915.76,"$8,868.17",59.34%
NETEVIA,Visa,BrightAdvantageLLC,"2,620","2,621","2,126",81.11%,"$82,095.37",495,18.89%,"$11,885.49",$0.00,$0.00,0.00%,"$11,885.49",$0.00,$0.00,$0.00,"$11,885.49","$11,885.49","$1,283.44",10.80%,5,0,1.01%,$189.64,1.60%,2,40.00%,3,60.00%,11,0,2.22%,$176.74,1.49%,0,0.00%,$0.00,0.00%,26,5.25%,$917.06,7.72%,"$10,602.05","$1,116.54",$0.00,$0.00,$0.00,$0.00,"$1,116.54","$9,485.51",79.81%
