"<track>Tracking 2</track>",Orders,Customers,"New Customers","New Customers Rate",Offers,"Offers Per Order","Initial Cart Gross Product Revenue","Initial Cart Discounts","Initial Cart Rewards","Initial Cart Shipping","Initial Cart Tax","Initial Cart Revenue","Average Initial Cart Revenue",Upsells,"Upsell Rate","Upsells Per Order","Upsell Gross Product Revenue","Upsell Discounts","Upsell Rewards","Upsell Shipping","Upsell Tax","Upsell Revenue","Total Cart Offers","Total Cart Offers Per Order","Total Cart Gross Product Revenue","Total Cart Discounts","Total Cart Rewards","Total Cart Shipping","Total Cart Tax","Total Cart Revenue","Total Average Cart Revenue",Subscriptions,Active,"Retention Rate","First Renewals","First Renewal Rate","Average Renewal Cycle","Renewal Revenue","Average Renewal Revenue","Total Offers and Renewals","Total Revenue","Average Total Revenue","Average Total Revenue Per Customer",Adjustments,"Adjustment Rate",Refunds,"Offer Refund Rate","Refunded Revenue","Refunded Revenue Rate",Voids,"Offer Void Rate","Voided Revenue","Void Revenue Rate",Chargebacks,"Offer Chargeback Rate","Chargeback Revenue","Chargeback Revenue Rate",Alerts,"Offer Alert Rate","Alert Revenue","Alert Revenue Rate","Net Revenue","Average Net Revenue Per Customer","Cost of Revenue","Cost of Goods Sold","Ad Spend","Ad Spend Rate","Chargeback Fees","Chargeback Fees Rate","Alert Fees","Alert Fees Rate","Processing Fees","Processing Fees Rate",Profit,"Profit Margin","Profit Per Order","Profit Per Customer","Tax Collected","Gift Cards Applied",Processed
"ARB - Portable Elements Fridge Freezer",1,1,1,100.00%,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,1,0,0.00%,0,0.00%,0.00,$0.00,$0.00,1,$12.89,$12.89,$12.89,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$12.89,$12.89,$0.84,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$0.84,6.52%,$12.05,93.48%,$12.05,$12.05,$0.00,$0.00,$12.89
"ARB Portable Elements Fridge Freezer",2,2,2,100.00%,2,1.00,$25.78,$0.00,$0.00,$0.00,$0.00,$25.78,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,2,1.00,$25.78,$0.00,$0.00,$0.00,$0.00,$25.78,$12.89,2,0,0.00%,0,0.00%,0.00,$0.00,$0.00,2,$25.78,$12.89,$12.89,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$25.78,$12.89,$1.68,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$1.68,6.52%,$24.10,93.48%,$12.05,$12.05,$0.00,$0.00,$25.78
"BFGoodrich All-Terrain T/A KO2 Tires",18,16,16,88.89%,18,1.00,$307.98,$0.00,$0.00,$0.00,$0.00,$307.98,$17.11,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,18,1.00,$307.98,$0.00,$0.00,$0.00,$0.00,$307.98,$17.11,18,6,33.33%,3,16.67%,0.17,$296.67,$296.67,21,$604.65,$33.59,$37.79,$12.89,2.13%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,1,4.76%,$12.89,2.13%,$591.76,$36.99,$34.35,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$34.35,5.68%,$557.41,92.19%,$30.97,$34.84,$0.00,$0.00,$604.65
"Bad Boy MZ Rambler Lawn Mower",6,6,6,100.00%,6,1.00,$95.52,$0.00,$0.00,$0.00,$0.00,$95.52,$15.92,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,6,1.00,$95.52,$0.00,$0.00,$0.00,$0.00,$95.52,$15.92,6,1,16.67%,2,33.33%,0.33,$117.84,$117.84,8,$213.36,$35.56,$35.56,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$213.36,$35.56,$12.26,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$12.26,5.75%,$201.10,94.25%,$33.52,$33.52,$0.00,$0.00,$213.36
"Badland Off-Road Car Jack",1,1,0,0.00%,1,1.00,$47.84,$0.00,$0.00,$0.00,$0.00,$47.84,$47.84,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,1.00,$47.84,$0.00,$0.00,$0.00,$0.00,$47.84,$47.84,1,1,100.00%,0,0.00%,0.00,$0.00,$0.00,1,$47.84,$47.84,$47.84,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$47.84,$47.84,$2.59,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$2.59,5.41%,$45.25,94.59%,$45.25,$45.25,$0.00,$0.00,$47.84
"Badland ZXR 5000 Powersport Winch",5,5,5,100.00%,5,1.00,$64.45,$0.00,$0.00,$0.00,$0.00,$64.45,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,5,1.00,$64.45,$0.00,$0.00,$0.00,$0.00,$64.45,$12.89,5,1,20.00%,1,20.00%,0.20,$98.89,$98.89,6,$163.34,$32.67,$32.67,$98.89,60.54%,1,16.67%,$98.89,60.54%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$64.45,$12.89,$9.34,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$9.34,5.72%,$55.11,33.74%,$11.02,$11.02,$0.00,$0.00,$163.34
"Bell Carbon Motorcycle Helmet",2,2,2,100.00%,2,1.00,$31.84,$0.00,$0.00,$0.00,$0.00,$31.84,$15.92,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,2,1.00,$31.84,$0.00,$0.00,$0.00,$0.00,$31.84,$15.92,2,1,50.00%,1,50.00%,0.50,$98.89,$98.89,3,$130.73,$65.37,$65.37,$98.89,75.64%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,1,33.33%,$98.89,75.64%,$31.84,$15.92,$7.13,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$7.13,5.45%,$24.71,18.90%,$12.36,$12.36,$0.00,$0.00,$130.73
"Benchmade Bugout Folding Knife",3,3,0,0.00%,3,1.00,$143.52,$0.00,$0.00,$0.00,$0.00,$143.52,$47.84,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3,1.00,$143.52,$0.00,$0.00,$0.00,$0.00,$143.52,$47.84,3,3,100.00%,0,0.00%,0.00,$0.00,$0.00,3,$143.52,$47.84,$47.84,$95.68,66.67%,0,0.00%,$0.00,0.00%,1,33.33%,$47.84,33.33%,0,0.00%,$0.00,0.00%,1,33.33%,$47.84,33.33%,$47.84,$15.95,$7.77,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$7.77,5.41%,$40.07,27.92%,$13.36,$13.36,$0.00,$0.00,$143.52
"BigTex Car Hauler Trailer",64,64,18,28.13%,64,1.00,"$2,456.90",$0.00,$0.00,$0.00,$0.00,"$2,456.90",$38.39,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,64,1.00,"$2,456.90",$0.00,$0.00,$0.00,$0.00,"$2,456.90",$38.39,64,48,75.00%,2,3.13%,0.03,$197.78,$197.78,66,"$2,654.68",$41.48,$41.48,$191.36,7.21%,3,4.55%,$95.68,3.60%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,2,3.03%,$95.68,3.60%,"$2,463.32",$38.49,$145.78,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$145.78,5.49%,"$2,317.54",87.30%,$36.21,$36.21,$0.00,$0.00,"$2,654.68"
"Bose S1 Wireless Speaker",4,3,3,75.00%,4,1.00,$86.51,$0.00,$0.00,$0.00,$0.00,$86.51,$21.63,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,4,1.00,$86.51,$0.00,$0.00,$0.00,$0.00,$86.51,$21.63,4,2,50.00%,1,25.00%,0.25,$98.89,$98.89,5,$185.40,$46.35,$61.80,$146.73,79.14%,1,20.00%,$98.89,53.34%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,1,20.00%,$47.84,25.80%,$38.67,$12.89,$10.25,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$10.25,5.53%,$28.42,15.33%,$7.11,$9.47,$0.00,$0.00,$185.40
"Bose Wireless Speaker",11,8,8,72.73%,11,1.00,$258.76,$0.00,$0.00,$0.00,$0.00,$258.76,$23.52,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11,1.00,$258.76,$0.00,$0.00,$0.00,$0.00,$258.76,$23.52,11,6,54.55%,3,27.27%,0.27,$296.67,$296.67,14,$555.43,$50.49,$69.43,$111.78,20.12%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,2,14.29%,$111.78,20.12%,$443.65,$55.46,$30.53,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$30.53,5.50%,$413.12,74.38%,$37.56,$51.64,$0.00,$0.00,$555.43
"Camp Chef GRIDIRON 36 Grill",4,4,0,0.00%,4,1.00,$191.36,$0.00,$0.00,$0.00,$0.00,$191.36,$47.84,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,4,1.00,$191.36,$0.00,$0.00,$0.00,$0.00,$191.36,$47.84,4,4,100.00%,0,0.00%,0.00,$0.00,$0.00,4,$191.36,$47.84,$47.84,$47.84,25.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,1,25.00%,$47.84,25.00%,$143.52,$35.88,$10.36,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$10.36,5.41%,$133.16,69.59%,$33.29,$33.29,$0.00,$0.00,$191.36
"Casio - G-Shock Mudmaster Watch",26,24,24,92.31%,26,1.00,$423.22,$0.00,$0.00,$0.00,$0.00,$423.22,$16.28,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,26,1.00,$423.22,$0.00,$0.00,$0.00,$0.00,$423.22,$16.28,26,7,26.92%,4,15.38%,0.15,$395.56,$395.56,30,$818.78,$31.49,$34.12,$166.25,20.30%,3,10.00%,$153.36,18.73%,1,3.33%,$12.89,1.57%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$652.53,$27.19,$46.83,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$46.83,5.72%,$605.70,73.98%,$23.30,$25.24,$0.00,$0.00,$818.78
"Casio G-Shock GA-2100 1A1ER Black Oak Watch",1,1,1,100.00%,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,1,0,0.00%,0,0.00%,0.00,$0.00,$0.00,1,$12.89,$12.89,$12.89,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$12.89,$12.89,$0.84,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$0.84,6.52%,$12.05,93.48%,$12.05,$12.05,$0.00,$0.00,$12.89
"Casio G-Shock Mudmaster Watch",25,23,23,92.00%,25,1.00,$410.33,$0.00,$0.00,$0.00,$0.00,$410.33,$16.41,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,25,1.00,$410.33,$0.00,$0.00,$0.00,$0.00,$410.33,$16.41,25,6,24.00%,4,16.00%,0.16,$395.56,$395.56,29,$805.89,$32.24,$35.04,$111.78,13.87%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,2,6.90%,$111.78,13.87%,$694.11,$30.18,$40.85,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$40.85,5.07%,$653.26,81.06%,$26.13,$28.40,$0.00,$0.00,$805.89
"Central Machinery 7 HP Plate Compactor",1,1,1,100.00%,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,1,0,0.00%,0,0.00%,0.00,$0.00,$0.00,1,$12.89,$12.89,$12.89,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$12.89,$12.89,$0.84,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$0.84,6.52%,$12.05,93.48%,$12.05,$12.05,$0.00,$0.00,$12.89
"Chevrolet Custom Bench",278,269,266,95.68%,278,1.00,"$4,020.58",$0.00,$0.00,$0.00,$0.00,"$4,020.58",$14.46,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,278,1.00,"$4,020.58",$0.00,$0.00,$0.00,$0.00,"$4,020.58",$14.46,278,89,32.01%,75,26.98%,0.27,"$7,416.75","$7,416.75",353,"$11,437.33",$41.14,$42.52,"$1,019.42",8.91%,3,0.85%,$210.67,1.84%,3,0.85%,$73.62,0.64%,0,0.00%,$0.00,0.00%,17,4.82%,$735.13,6.43%,"$10,417.91",$38.73,$579.40,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$579.40,5.07%,"$9,838.51",86.02%,$35.39,$36.57,$0.00,$0.00,"$11,437.33"
"Cobra Limited Edition Aerojet LS Volition Driver",89,84,67,75.28%,89,1.00,"$1,923.58",$0.00,$0.00,$0.00,$0.00,"$1,923.58",$21.61,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,89,1.00,"$1,923.58",$0.00,$0.00,$0.00,$0.00,"$1,923.58",$21.61,89,39,43.82%,17,19.10%,0.19,"$1,681.13","$1,681.13",106,"$3,604.71",$40.50,$42.91,$335.85,9.32%,1,0.94%,$12.89,0.36%,1,0.94%,$12.89,0.36%,0,0.00%,$0.00,0.00%,8,7.55%,$310.07,8.60%,"$3,268.86",$38.92,$195.92,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$195.92,5.44%,"$3,072.94",85.25%,$34.53,$36.58,$0.00,$0.00,"$3,604.71"
"Cobra Limited Edition Pista-60 Putter",153,125,124,81.05%,153,1.00,"$3,023.49",$0.00,$0.00,$0.00,$0.00,"$3,023.49",$19.76,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,153,1.00,"$3,023.49",$0.00,$0.00,$0.00,$0.00,"$3,023.49",$19.76,153,69,45.10%,39,25.49%,0.25,"$3,856.71","$3,856.71",192,"$6,880.20",$44.97,$55.04,"$1,503.47",21.85%,3,1.56%,$159.62,2.32%,3,1.56%,$44.73,0.65%,1,0.52%,$12.89,0.19%,23,11.98%,"$1,286.23",18.69%,"$5,376.73",$43.01,$401.28,$0.00,$0.00,0.00%,$35.00,0.51%,$0.00,0.00%,$366.28,5.32%,"$4,975.45",72.32%,$32.52,$39.80,$0.00,$0.00,"$6,880.20"
